RUN	viadeGatling.LoginTest	logintest	1588371484821	 	3.2.1
REQUEST	50		request_2	1588371491656	1588371493051	OK	 
REQUEST	50		request_3	1588371491658	1588371493052	OK	 
REQUEST	8		request_2	1588371490970	1588371493053	OK	 
REQUEST	4		request_2	1588371491085	1588371493054	OK	 
REQUEST	54		request_2	1588371491714	1588371493056	OK	 
REQUEST	54		request_3	1588371491714	1588371493058	OK	 
REQUEST	12		request_2	1588371491118	1588371493060	OK	 
REQUEST	20		request_2	1588371491157	1588371493062	OK	 
REQUEST	41		request_2	1588371491440	1588371493063	OK	 
REQUEST	41		request_3	1588371491441	1588371493064	OK	 
REQUEST	36		request_2	1588371491379	1588371493066	OK	 
REQUEST	58		request_2	1588371491729	1588371493066	OK	 
REQUEST	15		request_2	1588371491607	1588371493051	OK	 
REQUEST	33		request_2	1588371491555	1588371493067	OK	 
REQUEST	58		request_3	1588371491730	1588371493068	OK	 
REQUEST	70		request_2	1588371491732	1588371493069	OK	 
REQUEST	70		request_3	1588371491733	1588371493069	OK	 
REQUEST	74		request_2	1588371491790	1588371493070	OK	 
REQUEST	74		request_3	1588371491791	1588371493070	OK	 
REQUEST	15		request_3	1588371491608	1588371493070	OK	 
REQUEST	100		request_3	1588371492139	1588371493071	OK	 
REQUEST	33		request_3	1588371491606	1588371493071	OK	 
REQUEST	13		request_2	1588371491643	1588371493072	OK	 
REQUEST	13		request_3	1588371491644	1588371493073	OK	 
REQUEST	25		request_2	1588371491671	1588371493073	OK	 
REQUEST	68		request_3	1588371492132	1588371493074	OK	 
REQUEST	68		request_2	1588371492131	1588371493081	OK	 
REQUEST	25		request_3	1588371491697	1588371493085	OK	 
REQUEST	17		request_2	1588371491749	1588371493086	OK	 
REQUEST	17		request_3	1588371491796	1588371493087	OK	 
REQUEST	61		request_2	1588371491845	1588371493088	OK	 
REQUEST	84		request_2	1588371492013	1588371493089	OK	 
REQUEST	96		request_2	1588371491992	1588371493090	OK	 
REQUEST	66		request_2	1588371491816	1588371493096	OK	 
REQUEST	61		request_3	1588371491847	1588371493102	OK	 
REQUEST	53		request_2	1588371491866	1588371493103	OK	 
REQUEST	100		request_2	1588371492137	1588371493104	OK	 
REQUEST	53		request_3	1588371491881	1588371493108	OK	 
REQUEST	66		request_3	1588371491818	1588371493117	OK	 
REQUEST	57		request_2	1588371491921	1588371493118	OK	 
REQUEST	82		request_2	1588371491852	1588371493120	OK	 
REQUEST	82		request_3	1588371491853	1588371493121	OK	 
REQUEST	78		request_2	1588371491877	1588371493122	OK	 
REQUEST	78		request_3	1588371491890	1588371493123	OK	 
REQUEST	57		request_3	1588371491941	1588371493123	OK	 
REQUEST	49		request_2	1588371491995	1588371493124	OK	 
REQUEST	49		request_3	1588371492008	1588371493125	OK	 
REQUEST	45		request_2	1588371492025	1588371493126	OK	 
REQUEST	45		request_3	1588371492026	1588371493126	OK	 
REQUEST	21		request_2	1588371492136	1588371493127	OK	 
REQUEST	86		request_2	1588371491924	1588371493139	OK	 
REQUEST	86		request_3	1588371491930	1588371493139	OK	 
REQUEST	90		request_3	1588371491972	1588371493140	OK	 
